Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,3,0,0.0,0.0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,2,8,8.0,0.0,0.98532,0.018774647452636843,0.01872634665578913,0.004672718213830105,0.0834532949456174,0.018774647452636843,0.01872634665578913,0.004672718213830105,0.0834532949456174
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.8-g_alpha-1-epoch_step-400,2,8,8.0,0.0,0.8228,0.006026655481033667,0.005755643078480664,0.001470031211031629,0.039947216890595015,0.006026655481033667,0.005755643078480664,0.001470031211031629,0.039947216890595015
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.7-g_alpha-1-epoch_step-400,2,8,8.0,0.0,0.98384,0.00776389937042718,0.007664420140661411,0.001925985274439334,0.054222648752399225,0.00776389937042718,0.007664420140661411,0.001925985274439334,0.054222648752399225
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.9-g_alpha-1-epoch_step-400,2,0,0.0,0.0,0.0,5.7379848151471515,1.555636947575227,0.3981228414110838,0.7497600767754319,5.7379848151471515,1.555636947575227,0.3981228414110838,0.7497600767754319
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,1,8,8.0,0.0,0.97844,0.0029847187925251643,0.002998693285583467,0.0007476288446853835,0.03434900831733845,0.0029847187925251643,0.002998693285583467,0.0007476288446853835,0.03434900831733845
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.6-g_alpha-1-epoch_step-400,1,8,8.0,0.0,0.97128,0.3304654064836554,0.1611172978065403,0.047740201088399714,0.19305822136916187,0.3304654064836554,0.1611172978065403,0.047740201088399714,0.19305822136916187
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.9-g_alpha-1-epoch_step-400,3,8,8.0,0.0,0.93616,0.01583392858070482,0.01507780085198247,0.003850165698851613,0.07001759436980168,0.01583392858070482,0.01507780085198247,0.003850165698851613,0.07001759436980168
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,3,8,8.0,0.0,0.9638,0.5083164979894119,0.2514571502405817,0.0760987392418847,0.2445217530390275,0.5083164979894119,0.2514571502405817,0.0760987392418847,0.2445217530390275
-major_weight-1-dataset-polar-d_layers-4-g_layers-4-d_alpha-0.7-g_alpha-1-epoch_step-400,3,8,8.0,0.0,0.96652,0.019466667742727782,0.019159490799767004,0.00481558988235148,0.0880918106206014,0.019466667742727782,0.019159490799767004,0.00481558988235148,0.0880918106206014
